opp_id,title,content_type,framework,characters,language,persona,city,reach,shareability,save,comment,lead_gen,total,priority_score,hook_category,cta_category,status,gate
OPP-001,POV broker scrolling 200 unread WhatsApp dhoondh raha ek lead,CT-DRAMA,FW-DRAMA,CH-BROKER|CH-OWNER,hi-dominant,Broker,Both,10,10,5,6,4,35,6.9,WHATSAPP-CHAOS,FOLLOW,ok,
OPP-002,WhatsApp mein jo 5L deal laga tha woh gaya kahan,CT-DRAMA,FW-DRAMA,CH-OWNER,mr-dominant,Owner,Both,8,10,6,6,6,36,7.2,WHATSAPP-CHAOS,FOLLOW,review-number,
OPP-003,Subah ka buyer dopahar tak 80 messages mein dafan,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,mixed,Broker,Both,5,6,3,8,3,25,4.8,WHATSAPP-CHAOS,COMMENT,ok,
OPP-004,Do agent ek hi WhatsApp lead pe call kar diye buyer confuse,CT-DRAMA,FW-CONVO,CH-TEAMLEAD,en-leaning,Manager,Both,6,8,4,8,6,32,6.3,WHATSAPP-CHAOS,COMMENT,ok,
OPP-005,Kaunsa chat mein Bandra wali property thi yaad nahi,CT-DRAMA,FW-DRAMA,CH-BROKER|CH-NEWBIE,hi-dominant,Broker,Mumbai,6,6,4,7,4,27,5.2,WHATSAPP-CHAOS,COMMENT,ok,
OPP-006,Tumhi pan lead WhatsApp madhe shodhta mag deal gela samjha,CT-DRAMA,FW-SKIT,CH-BROKER|CH-LOSTLEAD,mr-dominant,Broker,Pune,8,10,6,6,7,37,7.5,WHATSAPP-CHAOS,DEMO,ok,D24
OPP-007,30 WhatsApp groups khole ek lead ke liye,CT-DRAMA,FW-SKIT,CH-CONSULTANT|CH-SALESMGR,hi-dominant,Broker,Mumbai,7,7,5,6,4,29,5.7,WHATSAPP-CHAOS,COMMENT,ok,
OPP-008,WhatsApp pe Interested likha buyer ne phir gayab,CT-DRAMA,FW-SKIT,CH-BROKER|CH-LOSTLEAD,mr-dominant,Broker,Both,7,8,7,6,4,32,6.3,WHATSAPP-CHAOS,DEMO,ok,
OPP-009,Office group mein lead aaya kisi ne uthaya hi nahi,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-SALESMGR,mr-dominant,Manager,Both,8,6,6,7,3,30,5.8,WHATSAPP-CHAOS,COMMENT,ok,
OPP-010,WhatsApp lead ek tap mein system mein daalo demo,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-CONSULTANT|CH-BROKER,mixed,Broker,Both,7,6,5,4,8,30,6.2,LEAD-MANAGEMENT,DEMO,ok,
OPP-011,Client ka naam WhatsApp mein Unknown Number save,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,hi-dominant,Broker,Mumbai,8,8,5,5,2,28,5.5,WHATSAPP-CHAOS,FOLLOW,ok,
OPP-012,Forwarded property 5 baar bheji par track kisi ne nahi kiya,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,mr-dominant,Broker,Pune,7,8,5,6,4,30,5.9,WHATSAPP-CHAOS,DEMO,ok,D24
OPP-013,100 leads aaye sirf 12 convert hue baaki kahan gaye,CT-EDU,FW-CRM,CH-OWNER,hi-dominant,Owner,Mumbai,5,6,9,7,8,35,7.0,LEAD-LEAKAGE,COMMENT,ok,
OPP-014,30 percent leads chup-chaap gayab har mahine ka 20L,CT-EDU,FW-MYTH,CH-OWNER,en-leaning,Owner,Both,3,4,9,5,10,31,6.5,REVENUE,DEMO,review-number,
OPP-015,Aapke leads leak ho rahe hain aur aapko pata bhi nahi,CT-EDU,FW-MYTH,CH-OWNER|CH-LOSTLEAD,en-leaning,Owner,Mumbai,7,6,8,6,9,36,7.4,FEAR,SAVE,ok,
OPP-016,Lead leakage calculator apni leak nikalo comment mein,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,mixed,Owner,Both,4,5,8,6,8,31,6.3,REVENUE,DEMO,blocked-feature,
OPP-017,Har lead ka owner kaun yeh dikhana zaroori hai,CT-EDU,FW-MISTAKE,CH-TEAMLEAD|CH-LOSTLEAD,hi-dominant,Manager,Both,6,6,6,3,8,29,6.1,LEAD-MANAGEMENT,DEMO,ok,
OPP-018,Competitor ne 2 min mein call kiya aapne 2 ghante baad,CT-EDU,FW-MISTAKE,CH-BROKER,mr-dominant,Broker,Both,8,5,7,5,5,30,6.0,FEAR,SAVE,ok,D26
OPP-019,Aapka deal unka commission response time ka khel,CT-EDU,FW-CRM,CH-OWNER,hi-dominant,Owner,Pune,5,4,8,5,10,32,6.7,REVENUE,DEMO,ok,D24
OPP-020,Lead aaya call lagaya kal buyer already gaya,CT-EDU,FW-LEAD-LEAKAGE,CH-BROKER|CH-LOSTLEAD,en-leaning,Broker,Mumbai,3,5,6,4,7,25,5.2,LEAD-MANAGEMENT,DEMO,ok,
OPP-021,Spreadsheet purana hai aaj ke leads kahan,CT-EDU,FW-MYTH,CH-TEAMLEAD|CH-LOSTLEAD,hi-dominant,Manager,Pune,3,5,7,6,8,29,5.9,FEAR,DEMO,ok,D24
OPP-022,Ek recovered deal poore saal ka CRM cost cover karta hai,CT-EDU,FW-CRM,CH-OWNER,hi-dominant,Owner,Pune,4,4,6,6,10,30,6.2,REVENUE,DEMO,ok,D24
OPP-023,Follow-up bhool gaye Ab nahi hoga sab automatic,CT-EDU,FW-CRM,CH-BROKER,hi-dominant,Broker,Both,4,4,8,5,8,29,6.0,FEAR,DEMO,ok,
OPP-024,Kal jis client se baat hui aaj follow-up kiya kya,CT-EDU,FW-CRM,CH-CONSULTANT,hi-dominant,Broker,Mumbai,6,5,8,5,4,28,5.6,SALES,COMMENT,ok,
OPP-025,Client teesri baar pooche any update aap kya bologe,CT-EDU,FW-CRM,CH-BROKER,hi-dominant,Broker,Both,6,3,6,6,7,28,5.7,FEAR,DEMO,ok,
OPP-026,Response within 15 min 60 percent close after 1 hour 20 percent,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,hi-dominant,Owner,Mumbai,7,3,10,4,9,33,6.8,SALES,DEMO,review-number,
OPP-027,3 follow-up jo har broker bhoolta hai,CT-EDU,FW-LEAD-LEAKAGE,CH-CONSULTANT,mr-dominant,Broker,Pune,5,6,9,5,8,33,6.8,CURIOSITY,DEMO,ok,D24
OPP-028,Follow-up rahila ani deal gela Pune broker ki kahani,CT-EDU,FW-CRM,CH-BROKER,mr-dominant,Broker,Pune,5,5,7,4,4,25,5.0,FOLLOWUP,COMMENT,ok,D24
OPP-029,Buyer ko reminder system bhejega tum deal close karoge,CT-EDU,FW-MISTAKE,CH-BROKER,hi-dominant,Broker,Mumbai,5,4,7,4,4,24,4.8,SALES,DEMO,ok,
OPP-030,Google Ads ka lead 48 ghante mein thanda follow-up turant,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,hi-dominant,Owner,Mumbai,5,4,7,5,10,31,6.5,FEAR,DEMO,ok,
OPP-031,Commission ka jhagda ab nahi khata book khol ke dikhao,CT-DEMO,FW-DEMO,CH-OWNER,hi-dominant,Owner,Pune,5,4,7,5,10,31,6.5,REVENUE,DEMO,ok,D24
OPP-032,Do agent same lead claim kar rahe khata ne 10 sec mein settle,CT-DEMO,FW-DEMO,CH-TEAMLEAD,hi-dominant,Manager,Both,3,2,8,7,8,28,5.7,SALES,DEMO,ok,
OPP-033,Agent bole 5L baki broker bole 3L hisaab kaun sahi,CT-DEMO,FW-CRM,CH-OWNER,hi-dominant,Owner,Both,4,4,5,6,10,29,6.0,REVENUE,DEMO,review-number,
OPP-034,Excel mein commission galat overpay 2L ka error,CT-DEMO,FW-AI,CH-OWNER,mixed,Owner,Both,4,4,7,4,8,27,5.6,CRM,DEMO,review-number,
OPP-035,Kiska kitna paisa khata book mein zero jhagda,CT-DEMO,FW-CRM,CH-OWNER,mixed,Owner,Mumbai,4,4,7,5,6,26,5.2,REVENUE,DEMO,ok,
OPP-036,Khata settlement 3 tap mein dekho live,CT-DEMO,FW-DEMO,CH-OWNER,mr-dominant,Owner,Pune,6,4,5,5,10,30,6.2,DEMO,DEMO,ok,D24
OPP-037,Hishob clear kara bhandan sampla Marathi khata reel,CT-DEMO,FW-CRM,CH-OWNER,hi-dominant,Owner,Pune,5,4,5,6,9,29,5.9,CRM,DEMO,ok,D24
OPP-038,Commission split channel partner ke saath transparent rakho,CT-DEMO,FW-CRM,CH-OWNER,hi-dominant,Owner,Mumbai,3,4,6,6,8,27,5.5,REVENUE,TRIAL,ok,
OPP-039,Manual hisaab mein har mahine kitna leak ho raha,CT-DEMO,FW-AI,CH-OWNER,hi-dominant,Owner,Mumbai,5,6,6,5,10,32,6.7,FEAR,DEMO,ok,
OPP-040,AI ne mere 100 buyers ko call kiya 30 qualified nikle,CT-DEMO,FW-DEMO,CH-BROKER,hi-dominant,Broker,Pune,7,4,6,3,10,30,6.4,AI,DEMO,blocked-prelaunch,D24|D26
OPP-041,AI calls karega tu deals close karega 10 ghante bach gaye,CT-DEMO,FW-CRM,CH-CONSULTANT,mixed,Broker,Both,7,5,5,5,10,32,6.7,AI,DEMO,ok,D26
OPP-042,Maine AI se follow-up call karwaya client ko pata bhi nahi chala,CT-DEMO,FW-DEMO,CH-BROKER,hi-dominant,Broker,Mumbai,8,7,5,5,9,34,7.0,CURIOSITY,TRIAL,blocked-prelaunch,D26
OPP-043,AI calling demo sun lo asli real estate call,CT-DEMO,FW-CRM,CH-CONSULTANT,mr-dominant,Broker,Both,6,5,4,4,10,29,6.1,AI,DEMO,ok,D26
OPP-044,AI calling real estate mein chalega Myth bust,CT-DEMO,FW-DEMO,CH-OWNER,hi-dominant,Owner,Pune,3,2,5,6,7,23,4.7,MYTH,DEMO,ok,D24|D26
OPP-045,"Business hours mein AI ne leads qualify kiye, subah tak list ready",CT-DEMO,FW-DEMO,CH-OWNER,mixed,Owner,Both,5,5,5,5,10,30,6.2,AI,DEMO,retitled,
OPP-046,AI tumhe replace nahi karega boring kaam karega,CT-DEMO,FW-DEMO,CH-BROKER,mr-dominant,Broker,Pune,6,2,6,9,8,31,6.2,CONTRARIAN,DEMO,ok,D24
OPP-047,AI ne Google Ads lead 30 sec mein follow-up kiya deal bachi,CT-DEMO,FW-CRM,CH-OWNER,hi-dominant,Owner,Mumbai,3,3,8,4,10,28,5.9,AI,DEMO,blocked-prelaunch,
OPP-048,AI calling kaise set karo 60 second mein,CT-DEMO,FW-DEMO,CH-OWNER,mr-dominant,Owner,Both,4,3,6,5,10,28,5.9,DEMO,TRIAL,ok,D26
OPP-049,Pata hai team abhi kya kar rahi hai dashboard kholo,CT-EDU,FW-MYTH,CH-OWNER,hi-dominant,Owner,Both,7,6,8,5,9,35,7.2,TEAM-MANAGEMENT,DEMO,ok,
OPP-050,Proof nahi to sirf blame agent ki performance data se,CT-EDU,FW-MISTAKE,CH-SALESMGR,mr-dominant,Manager,Both,6,7,8,4,5,30,6.1,TEAM-MANAGEMENT,SAVE,ok,
OPP-051,Kaun sa agent kaun sa lead chala raha pata nahi,CT-EDU,FW-MYTH,CH-OWNER,hi-dominant,Owner,Mumbai,6,6,7,3,4,26,5.3,FEAR,SAVE,ok,
OPP-052,Visibility surveillance nahi fairness hai agent bhi khush,CT-EDU,FW-CRM,CH-TEAMLEAD,hi-dominant,Manager,Both,3,3,8,8,5,27,5.2,TEAM-MANAGEMENT,DEMO,ok,
OPP-053,Poori team ek dashboard mein owner ka control,CT-EDU,FW-MYTH,CH-OWNER,hi-dominant,Owner,Mumbai,3,7,7,4,7,28,5.8,TEAM-MANAGEMENT,COMMENT,ok,
