opp_id,title,content_type,framework,characters,language,persona,city,reach,shareability,save,comment,lead_gen,total,priority_score,hook_category,cta_category
OPP-001,POV broker scrolling 200 unread WhatsApp dhoondh raha ek lead,CT-DRAMA,FW-DRAMA,CH-BROKER|CH-OWNER,hi-dominant,Broker,Both,10,10,5,6,4,35,6.9,WHATSAPP-CHAOS,FOLLOW
OPP-002,WhatsApp mein jo 5L deal laga tha woh gaya kahan,CT-DRAMA,FW-DRAMA,CH-OWNER,mr-dominant,Owner,Both,8,10,6,6,6,36,7.2,WHATSAPP-CHAOS,FOLLOW
OPP-003,Subah ka buyer dopahar tak 80 messages mein dafan,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,mixed,Broker,Both,5,6,3,8,3,25,4.8,WHATSAPP-CHAOS,COMMENT
OPP-004,Do agent ek hi WhatsApp lead pe call kar diye buyer confuse,CT-DRAMA,FW-CONVO,CH-TEAMLEAD,en-leaning,Manager,Both,6,8,4,8,6,32,6.3,WHATSAPP-CHAOS,COMMENT
OPP-005,Kaunsa chat mein Bandra wali property thi yaad nahi,CT-DRAMA,FW-DRAMA,CH-BROKER|CH-NEWBIE,hi-dominant,Broker,Mumbai,6,6,4,7,4,27,5.2,WHATSAPP-CHAOS,COMMENT
OPP-006,Tumhi pan lead WhatsApp madhe shodhta mag deal gela samjha,CT-DRAMA,FW-SKIT,CH-BROKER|CH-LOSTLEAD,mr-dominant,Broker,Pune,8,10,6,6,7,37,7.5,WHATSAPP-CHAOS,DEMO
OPP-007,30 WhatsApp groups khole ek lead ke liye,CT-DRAMA,FW-SKIT,CH-CONSULTANT|CH-SALESMGR,hi-dominant,Broker,Mumbai,7,7,5,6,4,29,5.7,WHATSAPP-CHAOS,COMMENT
OPP-008,WhatsApp pe Interested likha buyer ne phir gayab,CT-DRAMA,FW-SKIT,CH-BROKER|CH-LOSTLEAD,mr-dominant,Broker,Both,7,8,7,6,4,32,6.3,WHATSAPP-CHAOS,DEMO
OPP-009,Office group mein lead aaya kisi ne uthaya hi nahi,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-SALESMGR,mr-dominant,Manager,Both,8,6,6,7,3,30,5.8,WHATSAPP-CHAOS,COMMENT
OPP-010,WhatsApp lead ek tap mein system mein daalo demo,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-CONSULTANT|CH-BROKER,mixed,Broker,Both,7,6,5,4,8,30,6.2,LEAD-MANAGEMENT,DEMO
OPP-011,Client ka naam WhatsApp mein Unknown Number save,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,hi-dominant,Broker,Mumbai,8,8,5,5,2,28,5.5,WHATSAPP-CHAOS,FOLLOW
OPP-012,Forwarded property 5 baar bheji par track kisi ne nahi kiya,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-BROKER,mr-dominant,Broker,Pune,7,8,5,6,4,30,5.9,WHATSAPP-CHAOS,DEMO
